source,bracket,control,class_code,class_name,precision,recall,f1,iou,support,cells_present,low_support,OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
embedding_v2,2018_2020,True,9,beaver,0.00415,0.20262,0.00813,0.00408,2976,7,False,0.71736,0.38968,0.3086,0.58854,36,4084676
embedding_v2,2018_2020,True,10,insect_disease,0.01415,0.14297,0.02576,0.01305,19514,12,False,0.71736,0.38968,0.3086,0.58854,36,4084676
embedding_v3,2018_2020,True,1,harvest,0.14966,0.09986,0.11979,0.06371,74017,18,False,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v3,2018_2020,True,2,development,0.0002,0.00365,0.00039,0.00019,1643,9,False,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v3,2018_2020,True,3,forest,0.85645,0.77821,0.81546,0.68841,2074545,36,False,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v3,2018_2020,True,4,urban,0.36822,0.63017,0.46483,0.30279,106209,36,False,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v3,2018_2020,True,5,water,0.93764,0.9433,0.94047,0.88762,229008,28,False,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v3,2018_2020,True,6,ag,0.87142,0.80612,0.8375,0.72043,971111,21,False,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v3,2018_2020,True,7,grass_shrub,0.32021,0.30301,0.31138,0.1844,252292,31,False,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v3,2018_2020,True,8,wetland,0.61315,0.23348,0.33818,0.2035,353361,23,False,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v3,2018_2020,True,9,beaver,0.00497,0.18078,0.00967,0.00486,2976,7,False,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v3,2018_2020,True,10,insect_disease,0.01112,0.1874,0.021,0.01061,19514,12,False,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v4,2018_2020,True,1,harvest,0.28036,0.14279,0.18921,0.10449,74017,18,False,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v4,2018_2020,True,2,development,0.00681,0.25685,0.01327,0.00668,1643,9,False,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v4,2018_2020,True,3,forest,0.80027,0.79722,0.79874,0.66492,2074545,36,False,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v4,2018_2020,True,4,urban,0.06485,0.2712,0.10468,0.05523,106209,36,False,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v4,2018_2020,True,5,water,0.69885,0.62458,0.65963,0.49213,229008,28,False,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v4,2018_2020,True,6,ag,0.79578,0.68839,0.7382,0.58504,971111,21,False,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v4,2018_2020,True,7,grass_shrub,0.18641,0.16787,0.17665,0.09688,252292,31,False,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v4,2018_2020,True,8,wetland,0.35717,0.11409,0.17294,0.09465,353361,23,False,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v4,2018_2020,True,9,beaver,0.01852,0.11022,0.0317,0.01611,2976,7,False,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v4,2018_2020,True,10,insect_disease,0.01437,0.05278,0.02258,0.01142,19514,12,False,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v5,2018_2020,True,1,harvest,0.06373,0.12186,0.0837,0.04368,74017,18,False,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v5,2018_2020,True,2,development,0.00149,0.0493,0.0029,0.00145,1643,9,False,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v5,2018_2020,True,3,forest,0.85968,0.70773,0.77634,0.63444,2074545,36,False,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v5,2018_2020,True,4,urban,0.34764,0.62448,0.44664,0.28753,106209,36,False,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v5,2018_2020,True,5,water,0.94127,0.93193,0.93658,0.88072,229008,28,False,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v5,2018_2020,True,6,ag,0.87286,0.78658,0.82747,0.70572,971111,21,False,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v5,2018_2020,True,7,grass_shrub,0.3416,0.27623,0.30546,0.18026,252292,31,False,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v5,2018_2020,True,8,wetland,0.49132,0.14034,0.21831,0.12253,353361,23,False,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v5,2018_2020,True,9,beaver,0.00341,0.38878,0.00676,0.00339,2976,7,False,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v5,2018_2020,True,10,insect_disease,0.00859,0.10736,0.0159,0.00802,19514,12,False,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v6,2018_2020,True,1,harvest,0.0231,0.10622,0.03795,0.01934,74017,18,False,0.19331,0.1048,0.06004,0.0823,36,4084676
embedding_v6,2018_2020,True,2,development,0.00123,0.24285,0.00244,0.00122,1643,9,False,0.19331,0.1048,0.06004,0.0823,36,4084676
embedding_v6,2018_2020,True,3,forest,0.76183,0.19122,0.3057,0.18043,2074545,36,False,0.19331,0.1048,0.06004,0.0823,36,4084676
embedding_v6,2018_2020,True,4,urban,0.02144,0.09896,0.03525,0.01794,106209,36,False,0.19331,0.1048,0.06004,0.0823,36,4084676
embedding_v6,2018_2020,True,5,water,0.04831,0.12456,0.06962,0.03606,229008,28,False,0.19331,0.1048,0.06004,0.0823,36,4084676
embedding_v6,2018_2020,True,6,ag,0.52929,0.27635,0.36312,0.22183,971111,21,False,0.19331,0.1048,0.06004,0.0823,36,4084676
embedding_v6,2018_2020,True,7,grass_shrub,0.08457,0.12712,0.10157,0.0535,252292,31,False,0.19331,0.1048,0.06004,0.0823,36,4084676
embedding_v6,2018_2020,True,8,wetland,0.11716,0.12252,0.11978,0.0637,353361,23,False,0.19331,0.1048,0.06004,0.0823,36,4084676
embedding_v6,2018_2020,True,9,beaver,0.00126,0.11526,0.00249,0.00125,2976,7,False,0.19331,0.1048,0.06004,0.0823,36,4084676
embedding_v6,2018_2020,True,10,insect_disease,0.0054,0.08015,0.01013,0.00509,19514,12,False,0.19331,0.1048,0.06004,0.0823,36,4084676
embedding_v2,2019_2021,False,1,harvest,0.24806,0.19964,0.22123,0.12437,23583,19,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v2,2019_2021,False,2,development,0.00144,0.10385,0.00284,0.00142,1454,11,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v2,2019_2021,False,3,forest,0.91257,0.59449,0.71997,0.56246,2095266,35,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v2,2019_2021,False,4,urban,0.40672,0.61975,0.49113,0.3255,143446,36,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v2,2019_2021,False,5,water,0.91404,0.95982,0.93637,0.88035,403580,35,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v2,2019_2021,False,6,ag,0.80861,0.77204,0.7899,0.65275,552651,18,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v2,2019_2021,False,7,grass_shrub,0.27126,0.31338,0.2908,0.17014,383091,31,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v2,2019_2021,False,8,wetland,0.5935,0.44638,0.50953,0.34186,455392,28,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v2,2019_2021,False,9,beaver,0.00136,0.70667,0.00272,0.00136,1200,6,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v2,2019_2021,False,10,insect_disease,0.01231,0.00469,0.00679,0.00341,12363,8,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v3,2019_2021,False,1,harvest,0.13645,0.08303,0.10323,0.05443,23583,19,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v3,2019_2021,False,2,development,0.00187,0.07497,0.00364,0.00183,1454,11,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v3,2019_2021,False,3,forest,0.91448,0.589,0.71651,0.55825,2095266,35,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v3,2019_2021,False,4,urban,0.4224,0.6604,0.51524,0.34702,143446,36,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v3,2019_2021,False,5,water,0.90424,0.96499,0.93363,0.87552,403580,35,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v3,2019_2021,False,6,ag,0.75503,0.82076,0.78652,0.64815,552651,18,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v3,2019_2021,False,7,grass_shrub,0.29963,0.25117,0.27327,0.15826,383091,31,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v3,2019_2021,False,8,wetland,0.59958,0.42053,0.49434,0.32832,455392,28,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v3,2019_2021,False,9,beaver,0.00105,0.65583,0.00209,0.00104,1200,6,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v3,2019_2021,False,10,insect_disease,0.0,0.0,,0.0,12363,8,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v4,2019_2021,False,1,harvest,0.05547,0.15401,0.08157,0.04252,23583,19,False,0.28489,0.20362,0.12974,0.17451,36,4072026
embedding_v4,2019_2021,False,2,development,0.00054,0.24347,0.00108,0.00054,1454,11,False,0.28489,0.20362,0.12974,0.17451,36,4072026
embedding_v4,2019_2021,False,3,forest,0.79602,0.2526,0.3835,0.23724,2095266,35,False,0.28489,0.20362,0.12974,0.17451,36,4072026
embedding_v4,2019_2021,False,4,urban,0.03407,0.23851,0.05962,0.03073,143446,36,False,0.28489,0.20362,0.12974,0.17451,36,4072026
embedding_v4,2019_2021,False,5,water,0.8986,0.47132,0.61832,0.44752,403580,35,False,0.28489,0.20362,0.12974,0.17451,36,4072026
embedding_v4,2019_2021,False,6,ag,0.67259,0.3449,0.45598,0.29532,552651,18,False,0.28489,0.20362,0.12974,0.17451,36,4072026
