cell_id,crs,x_scale,x_shear,x_trans,y_shear,y_scale,y_trans,width,height,file
12763,EPSG:5070,10.0,0.0,253080.0,0.0,-10.0,2465580.0,337,336,rf_class_reviewer_ash_grid_12763_sample_118_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
12990,EPSG:5070,10.0,0.0,256440.0,0.0,-10.0,2784790.0,337,337,rf_class_reviewer_mina_grid_12990_sample_266_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
12993,EPSG:5070,10.0,0.0,259800.0,0.0,-10.0,2781430.0,337,337,rf_class_reviewer_bekka_grid_12993_sample_375_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
13120,EPSG:5070,10.0,0.0,256440.0,0.0,-10.0,2697420.0,337,336,rf_class_reviewer_bekka_grid_13120_sample_15_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
13163,EPSG:5070,10.0,0.0,259800.0,0.0,-10.0,2667190.0,337,337,rf_class_reviewer_peter_grid_13163_sample_30_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
13381,EPSG:5070,10.0,0.0,259800.0,0.0,-10.0,2522700.0,337,336,rf_class_reviewer_bekka_grid_13381_sample_59_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
13541,EPSG:5070,10.0,0.0,259800.0,0.0,-10.0,2415180.0,337,337,rf_class_reviewer_bekka_grid_13541_sample_283_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
13691,EPSG:5070,10.0,0.0,266520.0,0.0,-10.0,2778070.0,337,337,rf_class_reviewer_bekka_grid_13691_sample_43_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
13732,EPSG:5070,10.0,0.0,263160.0,0.0,-10.0,2747830.0,337,337,rf_class_reviewer_ash_grid_13732_sample_28_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
13843,EPSG:5070,10.0,0.0,266520.0,0.0,-10.0,2673910.0,337,337,rf_class_reviewer_mina_grid_13843_sample_88_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
13870,EPSG:5070,10.0,0.0,263160.0,0.0,-10.0,2657110.0,337,338,rf_class_reviewer_bekka_grid_13870_sample_150_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
13921,EPSG:5070,10.0,0.0,266520.0,0.0,-10.0,2623510.0,337,337,rf_class_reviewer_bekka_grid_13921_sample_195_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
14062,EPSG:5070,10.0,0.0,263160.0,0.0,-10.0,2526060.0,337,337,rf_class_reviewer_bekka_grid_14062_sample_269_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
14441,EPSG:5070,10.0,0.0,273240.0,0.0,-10.0,2731030.0,337,337,rf_class_reviewer_bekka_grid_14441_sample_435_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
14542,EPSG:5070,10.0,0.0,269880.0,0.0,-10.0,2660470.0,337,338,rf_class_reviewer_bekka_grid_14542_sample_71_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
14620,EPSG:5070,10.0,0.0,269880.0,0.0,-10.0,2610070.0,337,337,rf_class_reviewer_bekka_grid_14620_sample_508_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
14873,EPSG:5070,10.0,0.0,273240.0,0.0,-10.0,2438710.0,337,337,rf_class_reviewer_bekka_grid_14873_sample_89_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
14931,EPSG:5070,10.0,0.0,273240.0,0.0,-10.0,2401750.0,337,337,rf_class_reviewer_bekka_grid_14931_sample_463_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
15022,EPSG:5070,10.0,0.0,276600.0,0.0,-10.0,2794870.0,337,337,rf_class_reviewer_bekka_grid_15022_sample_345_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
15172,EPSG:5070,10.0,0.0,276600.0,0.0,-10.0,2694070.0,337,337,rf_class_reviewer_bekka_grid_15172_sample_388_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
15193,EPSG:5070,10.0,0.0,279960.0,0.0,-10.0,2680630.0,337,337,rf_class_reviewer_bekka_grid_15193_sample_328_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
15713,EPSG:5070,10.0,0.0,286680.0,0.0,-10.0,2788150.0,337,337,rf_class_reviewer_bekka_grid_15713_sample_270_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
