version,W,cls,n_retained,n_dropped,frac_dropped,rmse,mae,bias,corr
v6,7,Wetland,310310,44343,0.125,0.2576,0.1627,-0.0215,0.0157
v6,7,Beaver,234968,119685,0.3375,0.1046,0.0863,0.0853,0.0031
v6,7,Insect/Disease,217297,137356,0.3873,0.1305,0.0991,0.0921,-0.0829
v6,9,Harvest,184966,25798,0.1224,0.1287,0.0921,0.0724,0.0001
v6,9,Development,123257,87507,0.4152,0.1493,0.0939,0.0923,0.0199
v6,9,Forest,198805,11959,0.0567,0.5373,0.4446,-0.3788,0.3986
v6,9,Urban,204499,6265,0.0297,0.187,0.1543,0.1166,-0.0903
v6,9,Water,197940,12824,0.0608,0.3121,0.2371,0.109,0.0558
v6,9,Agriculture,205851,4913,0.0233,0.295,0.1677,-0.0644,0.4121
v6,9,Grass/Shrub,190021,20743,0.0984,0.2165,0.1359,-0.0075,0.1252
v6,9,Wetland,193685,17079,0.081,0.2418,0.1506,-0.0206,0.0469
v6,9,Beaver,152329,58435,0.2773,0.0961,0.079,0.0782,0.0072
v6,9,Insect/Disease,147660,63104,0.2994,0.1174,0.0865,0.0806,-0.0699
