source,cell_id,bracket,macro_f1,n_classes_included,in_common_set,f1_stable,f1_harvest,f1_development,f1_insectdisease,f1_beaver
v4,04602,2017_2019,0.19547,5,True,0.9705,0.0,0.00641,0.00042,0.0
v5,04602,2017_2019,0.20386,5,True,0.98445,0.0,0.01536,0.0,0.01946
v6,04602,2017_2019,0.16651,5,True,0.80324,0.01553,0.01318,0.0,0.0006
spec_all,04602,2017_2019,0.19894,5,True,0.95933,0.0,0.02776,0.00164,0.00595
v2,04803,2021_2023,0.49999,2,True,0.99998,,0.0,,
v3,04803,2021_2023,0.49708,2,True,0.99416,,0.0,,
v4,04803,2021_2023,0.22807,4,True,0.91229,,0.0,0.0,0.0
v5,04803,2021_2023,0.49791,2,True,0.99582,,0.0,,
v6,04803,2021_2023,0.13047,5,True,0.65236,0.0,0.0,0.0,0.0
spec_all,04803,2021_2023,0.1617,5,True,0.80849,0.0,0.0,0.0,0.0
v2,05810,2019_2021,0.22838,5,True,0.88228,0.2596,0.0,0.0,0.0
v3,05810,2019_2021,0.29522,3,True,0.83783,0.04783,,,0.0
v4,05810,2019_2021,0.20979,5,True,0.9077,0.14124,0.0,0.0,0.0
v5,05810,2019_2021,0.22613,4,True,0.79106,0.11345,0.0,,0.0
v6,05810,2019_2021,0.17359,5,True,0.71781,0.15013,0.0,0.0,0.0
spec_all,05810,2019_2021,0.11685,5,True,0.57461,0.00963,0.0,0.0,0.0
v2,06063,2019_2021,0.19584,5,True,0.97921,0.0,0.0,0.0,0.0
v3,06063,2019_2021,0.19178,5,True,0.95888,0.0,0.0,0.0,0.0
v4,06063,2019_2021,0.21888,5,True,0.93407,0.16035,0.0,0.0,0.0
v5,06063,2019_2021,0.23783,4,True,0.95131,0.0,0.0,,0.0
v6,06063,2019_2021,0.11158,5,True,0.549,0.00888,0.0,0.0,0.0
spec_all,06063,2019_2021,0.16836,5,True,0.828,0.01381,0.0,0.0,0.0
v2,06143,2019_2021,0.19649,5,True,0.98243,0.0,0.0,0.0,0.0
v3,06143,2019_2021,0.24536,4,True,0.98143,0.0,0.0,,0.0
v4,06143,2019_2021,0.19109,5,True,0.95546,0.0,0.0,0.0,0.0
v5,06143,2019_2021,0.32267,3,True,0.96802,,0.0,,0.0
v6,06143,2019_2021,0.11104,5,True,0.55518,0.0,0.0,0.0,0.0
spec_all,06143,2019_2021,0.18049,5,True,0.90243,0.0,0.0,0.0,0.0
v2,06200,2021_2023,0.37888,3,True,0.99925,0.0,0.1374,,
v3,06200,2021_2023,0.33215,3,True,0.99645,0.0,0.0,,
v4,06200,2021_2023,0.21221,5,True,0.98151,0.0,0.07953,0.0,0.0
v5,06200,2021_2023,0.33243,3,True,0.99728,0.0,0.0,,
v6,06200,2021_2023,0.14816,5,True,0.73798,0.0,0.00282,0.0,0.0
spec_all,06200,2021_2023,0.14057,5,True,0.70168,0.0,0.00119,0.0,0.0
v2,06240,2019_2021,0.18916,5,True,0.93907,0.0,0.00672,0.0,0.0
v3,06240,2019_2021,0.24666,4,True,0.97176,0.0,0.01487,0.0,
v4,06240,2019_2021,0.16986,5,True,0.84472,0.0,0.00457,0.0,0.0
v5,06240,2019_2021,0.1888,5,True,0.94295,0.0,0.00106,0.0,0.0
v6,06240,2019_2021,0.10977,5,True,0.51474,0.0,0.00266,0.03147,0.0
spec_all,06240,2019_2021,0.16812,5,True,0.82034,0.0,0.00466,0.01558,0.0
v2,06411,2017_2019,0.4114,3,True,0.99892,0.0,0.23529,,
v3,06411,2017_2019,0.33178,3,True,0.98689,0.0,0.00845,,
v4,06411,2017_2019,0.22589,5,True,0.89612,0.0,0.23333,0.0,0.0
v5,06411,2017_2019,0.32725,3,True,0.97676,0.0,0.005,,
v6,06411,2017_2019,0.12431,5,True,0.6199,0.0,0.00167,0.0,0.0
spec_all,06411,2017_2019,0.19084,5,True,0.95229,0.0,0.00192,0.0,0.0
v2,06553,2017_2019,0.24128,4,True,0.96066,0.0,,0.0,0.00446
v3,06553,2017_2019,0.27606,3,True,0.82611,0.0,,,0.00208
v4,06553,2017_2019,0.20171,5,True,0.97449,0.02995,0.0,0.0,0.0041
v5,06553,2017_2019,0.28553,3,True,0.85457,0.0,,,0.00202
v6,06553,2017_2019,0.18276,5,True,0.91053,0.00326,0.0,0.0,0.0
spec_all,06553,2017_2019,0.13648,5,True,0.68161,0.0,0.0,0.0,0.00079
v2,06600,2017_2019,0.24095,4,True,0.96098,0.00284,,0.0,0.0
v3,06600,2017_2019,0.25113,3,True,0.75339,0.0,,,0.0
v4,06600,2017_2019,0.19735,5,True,0.98677,0.0,0.0,0.0,0.0
v5,06600,2017_2019,0.20721,4,True,0.82627,0.00257,0.0,,0.0
v6,06600,2017_2019,0.18661,5,True,0.91818,0.01485,0.0,0.0,0.0
spec_all,06600,2017_2019,0.18284,5,True,0.91418,0.0,0.0,0.0,0.0
v2,06711,2021_2023,0.24703,4,True,0.9881,0.0,,0.0,0.0
v3,06711,2021_2023,0.32548,3,True,0.97643,0.0,,,0.0
v4,06711,2021_2023,0.21112,5,True,0.95524,0.10034,0.0,0.0,0.0
v5,06711,2021_2023,0.246,4,True,0.984,0.0,0.0,,0.0
v6,06711,2021_2023,0.14772,5,True,0.69926,0.03933,0.0,0.0,0.0
spec_all,06711,2021_2023,0.18357,5,True,0.80844,0.10941,0.0,0.0,0.0
v2,06852,2021_2023,0.19764,5,True,0.98818,0.0,0.0,0.0,0.0
v3,06852,2021_2023,0.19751,5,True,0.98756,0.0,0.0,0.0,0.0
v4,06852,2021_2023,0.19803,5,True,0.99016,0.0,0.0,0.0,0.0
v5,06852,2021_2023,0.19666,5,True,0.98328,0.0,0.0,0.0,0.0
v6,06852,2021_2023,0.15834,5,True,0.79168,0.0,0.0,0.0,0.0
spec_all,06852,2021_2023,0.16785,5,True,0.83926,0.0,0.0,0.0,0.0
v2,06923,2021_2023,0.38089,3,True,0.99902,0.0,0.14365,,
v3,06923,2021_2023,0.33546,3,True,0.99467,0.0,0.01172,,
v4,06923,2021_2023,0.21,5,True,0.98803,0.0,0.06199,0.0,0.0
v5,06923,2021_2023,0.33142,3,True,0.99427,0.0,0.0,,
v6,06923,2021_2023,0.12636,5,True,0.62871,0.0,0.00308,0.0,0.0
spec_all,06923,2021_2023,0.14968,5,True,0.74619,0.0,0.0022,0.0,0.0
v2,07023,2017_2019,0.32152,4,True,0.99014,0.0,0.29594,0.0,
v3,07023,2017_2019,0.26662,4,True,0.97561,0.0,0.09086,0.0,
v4,07023,2017_2019,0.24804,4,True,0.85754,,0.13462,0.0,0.0
v5,07023,2017_2019,0.24123,4,True,0.94295,0.0,0.02198,0.0,
v6,07023,2017_2019,0.14111,5,True,0.61621,0.0,0.08933,0.0,0.0
spec_all,07023,2017_2019,0.21213,5,True,0.93801,0.0,0.12263,0.0,0.0
v2,07373,2019_2021,0.18445,5,True,0.87422,0.04101,0.0,0.0,0.00703
v3,07373,2019_2021,0.17,5,True,0.84382,0.0,0.0,0.0,0.00618
v4,07373,2019_2021,0.20473,5,True,0.93686,0.02981,0.00371,0.0,0.05328
v5,07373,2019_2021,0.15711,5,True,0.77994,0.00121,0.0,0.0,0.00441
v6,07373,2019_2021,0.14344,5,True,0.69936,0.01153,0.00174,0.00168,0.00287
spec_all,07373,2019_2021,0.18676,5,True,0.92085,0.0,0.0068,0.0014,0.00475
v2,07630,2019_2021,0.24787,4,True,0.98557,0.0,0.00591,,0.0
v3,07630,2019_2021,0.33204,3,True,0.99611,0.0,0.0,,
v4,07630,2019_2021,0.18971,5,True,0.938,0.00895,0.00161,0.0,0.0
v5,07630,2019_2021,0.24706,4,True,0.98602,0.0,0.00223,,0.0
v6,07630,2019_2021,0.12095,5,True,0.60131,0.00277,0.00066,0.0,0.0
spec_all,07630,2019_2021,0.19835,5,True,0.96399,0.02384,0.00391,0.0,0.0
v2,07690,2019_2021,0.23608,4,True,0.9431,0.0,0.00122,,0.0
v3,07690,2019_2021,0.2421,4,True,0.96653,0.0,0.00187,,0.0
v4,07690,2019_2021,0.17071,5,True,0.8529,0.0,0.00066,0.0,0.0
v5,07690,2019_2021,0.23946,4,True,0.95763,0.0,0.00022,,0.0
v6,07690,2019_2021,0.10271,5,True,0.5125,0.0,0.00105,0.0,0.0
spec_all,07690,2019_2021,0.18333,5,True,0.9155,0.0,0.00116,0.0,0.0
v2,07870,2017_2019,0.24837,4,True,0.99348,0.0,0.0,0.0,
v3,07870,2017_2019,0.24385,4,True,0.97539,0.0,0.0,0.0,
v4,07870,2017_2019,0.16972,5,True,0.8486,0.0,0.0,0.0,0.0
v5,07870,2017_2019,0.24175,4,True,0.96702,0.0,0.0,0.0,
v6,07870,2017_2019,0.13151,5,True,0.65754,0.0,0.0,0.0,0.0
spec_all,07870,2017_2019,0.19417,5,True,0.97087,0.0,0.0,0.0,0.0
v2,07921,2019_2021,0.20901,4,True,0.83605,0.0,0.0,,0.0
v3,07921,2019_2021,0.24057,3,True,0.7217,0.0,,,0.0
v4,07921,2019_2021,0.23567,4,True,0.94267,0.0,0.0,,0.0
v5,07921,2019_2021,0.16703,4,True,0.66812,0.0,0.0,,0.0
v6,07921,2019_2021,0.13211,5,True,0.66055,0.0,0.0,0.0,0.0
spec_all,07921,2019_2021,0.15166,5,True,0.75831,0.0,0.0,0.0,0.0
v2,08021,2021_2023,0.2484,4,True,0.99362,,0.0,0.0,0.0
v3,08021,2021_2023,0.45589,2,True,0.91177,,,,0.0
v4,08021,2021_2023,0.33196,3,True,0.99587,,0.0,0.0,
v5,08021,2021_2023,0.44398,2,True,0.88796,,,,0.0
v6,08021,2021_2023,0.12044,5,True,0.60221,0.0,0.0,0.0,0.0
spec_all,08021,2021_2023,0.16278,5,True,0.81391,0.0,0.0,0.0,0.0
v2,08063,2017_2019,0.38403,4,True,0.94525,0.51397,0.07692,,0.0
v3,08063,2017_2019,0.26142,4,True,0.75355,0.29213,0.0,,0.0
v4,08063,2017_2019,0.30047,5,True,0.98309,0.49524,0.02402,0.0,0.0
v5,08063,2017_2019,0.23031,4,True,0.84593,0.07532,0.0,,0.0
v6,08063,2017_2019,0.18852,5,True,0.90581,0.03017,0.0066,0.0,0.0
spec_all,08063,2017_2019,0.18062,5,True,0.89592,0.0029,0.00428,0.0,0.0
v2,08200,2019_2021,0.22658,5,True,0.95655,0.17635,0.0,0.0,0.0
v3,08200,2019_2021,0.23278,4,True,0.92532,0.00579,0.0,,0.0
v4,08200,2019_2021,0.22116,5,True,0.95475,0.15107,0.0,0.0,0.0
v5,08200,2019_2021,0.17834,5,True,0.88871,0.003,0.0,0.0,0.0
v6,08200,2019_2021,0.14404,5,True,0.69713,0.02306,0.0,0.0,0.0
spec_all,08200,2019_2021,0.172,5,True,0.7974,0.06259,0.0,0.0,0.0
v2,08321,2021_2023,0.49999,2,True,0.99998,,0.0,,
v3,08321,2021_2023,0.33325,3,True,0.99975,,0.0,,0.0
v4,08321,2021_2023,0.24443,4,True,0.97774,,0.0,0.0,0.0
v5,08321,2021_2023,0.33299,3,True,0.99898,,0.0,,0.0
v6,08321,2021_2023,0.15053,5,True,0.75266,0.0,0.0,0.0,0.0
spec_all,08321,2021_2023,0.16435,5,True,0.82173,0.0,0.0,0.0,0.0
v2,08382,2019_2021,0.19266,5,True,0.96186,0.0,0.00146,0.0,0.0
v3,08382,2019_2021,0.20175,5,True,0.99168,0.01709,0.0,0.0,0.0
v4,08382,2019_2021,0.23326,4,True,0.91729,0.01545,0.00031,,0.0
v5,08382,2019_2021,0.19514,5,True,0.97511,0.0,0.0006,0.0,0.0
v6,08382,2019_2021,0.10976,5,True,0.54747,0.00112,0.00023,0.0,0.0
spec_all,08382,2019_2021,0.18683,5,True,0.93121,0.00292,0.0,0.0,0.0
v2,09011,2021_2023,0.33324,3,True,0.99973,,0.0,,0.0
v3,09011,2021_2023,0.4999,2,True,0.9998,,0.0,,
v4,09011,2021_2023,0.24814,4,True,0.95227,0.0,0.0403,0.0,
v5,09011,2021_2023,0.33322,3,True,0.99966,,0.0,,0.0
