version,W,ref_code,ref_class,map_code,map_class,count
v2,7,1,Harvest,3,Forest,2348
v2,7,1,Harvest,4,Urban,93
v2,7,1,Harvest,6,Agriculture,3
v2,7,1,Harvest,7,Grass/Shrub,253
v2,7,1,Harvest,8,Wetland,98
v2,7,1,Harvest,9,Beaver,324
v2,7,1,Harvest,10,Insect/Disease,178
v2,7,2,Development,1,Harvest,2
v2,7,2,Development,2,Development,13
v2,7,2,Development,3,Forest,35
v2,7,2,Development,4,Urban,60
v2,7,2,Development,5,Water,1
v2,7,2,Development,6,Agriculture,48
v2,7,2,Development,7,Grass/Shrub,22
v2,7,2,Development,8,Wetland,18
v2,7,3,Forest,1,Harvest,2443
v2,7,3,Forest,2,Development,233
v2,7,3,Forest,3,Forest,142640
v2,7,3,Forest,4,Urban,2559
v2,7,3,Forest,5,Water,489
v2,7,3,Forest,6,Agriculture,929
v2,7,3,Forest,7,Grass/Shrub,15441
v2,7,3,Forest,8,Wetland,8257
v2,7,3,Forest,9,Beaver,14783
v2,7,3,Forest,10,Insect/Disease,5871
v2,7,4,Urban,1,Harvest,25
v2,7,4,Urban,2,Development,142
v2,7,4,Urban,3,Forest,331
v2,7,4,Urban,4,Urban,6757
v2,7,4,Urban,5,Water,44
v2,7,4,Urban,6,Agriculture,432
v2,7,4,Urban,7,Grass/Shrub,135
v2,7,4,Urban,8,Wetland,210
v2,7,4,Urban,9,Beaver,18
v2,7,4,Urban,10,Insect/Disease,6
v2,7,5,Water,2,Development,20
v2,7,5,Water,3,Forest,368
v2,7,5,Water,4,Urban,51
v2,7,5,Water,5,Water,27711
v2,7,5,Water,6,Agriculture,2
v2,7,5,Water,7,Grass/Shrub,97
v2,7,5,Water,8,Wetland,583
v2,7,5,Water,9,Beaver,97
v2,7,5,Water,10,Insect/Disease,7
v2,7,6,Agriculture,1,Harvest,111
v2,7,6,Agriculture,2,Development,967
v2,7,6,Agriculture,3,Forest,2076
v2,7,6,Agriculture,4,Urban,5688
v2,7,6,Agriculture,5,Water,49
v2,7,6,Agriculture,6,Agriculture,44845
v2,7,6,Agriculture,7,Grass/Shrub,3272
v2,7,6,Agriculture,8,Wetland,789
v2,7,6,Agriculture,9,Beaver,69
v2,7,6,Agriculture,10,Insect/Disease,27
v2,7,7,Grass/Shrub,1,Harvest,458
v2,7,7,Grass/Shrub,2,Development,668
v2,7,7,Grass/Shrub,3,Forest,3712
v2,7,7,Grass/Shrub,4,Urban,4174
v2,7,7,Grass/Shrub,5,Water,52
v2,7,7,Grass/Shrub,6,Agriculture,4867
v2,7,7,Grass/Shrub,7,Grass/Shrub,9298
v2,7,7,Grass/Shrub,8,Wetland,4527
v2,7,7,Grass/Shrub,9,Beaver,861
v2,7,7,Grass/Shrub,10,Insect/Disease,400
v2,7,8,Wetland,1,Harvest,37
v2,7,8,Wetland,2,Development,116
v2,7,8,Wetland,3,Forest,5440
v2,7,8,Wetland,4,Urban,1120
v2,7,8,Wetland,5,Water,1427
v2,7,8,Wetland,6,Agriculture,658
v2,7,8,Wetland,7,Grass/Shrub,5592
v2,7,8,Wetland,8,Wetland,12231
v2,7,8,Wetland,9,Beaver,4856
v2,7,8,Wetland,10,Insect/Disease,1280
