run,version,overall_accuracy,macro_f1,mean_iou,kappa
48,v5,0.5631,0.3596,0.2782,0.4395
48,v6,0.1865,0.1031,0.0579,0.059
49,v2,0.6547,0.377,0.2961,0.5281
49,v3,0.6044,0.3698,0.2887,0.4818
49,v4,0.5047,0.2416,0.1619,0.3171
49,v5,0.5626,0.3585,0.2774,0.4403
49,v6,0.1861,0.1035,0.0581,0.0591
50,v2,0.66,0.3814,0.3001,0.5339
50,v3,0.6091,0.3749,0.2931,0.4867
50,v4,0.5092,0.2445,0.1644,0.3206
50,v5,0.5669,0.363,0.2814,0.4448
50,v6,0.1867,0.1038,0.0583,0.0593
51,v2,0.6592,0.3814,0.2999,0.5339
51,v3,0.6083,0.3745,0.2926,0.4866
51,v4,0.5086,0.2449,0.1645,0.3216
51,v5,0.5668,0.3636,0.2815,0.4455
51,v6,0.1866,0.104,0.0584,0.0594
52,v2,0.658,0.3799,0.2982,0.5323
52,v3,0.6065,0.3725,0.2906,0.4843
52,v4,0.5081,0.2439,0.1637,0.3208
52,v5,0.5649,0.3613,0.2792,0.4431
52,v6,0.186,0.1035,0.0582,0.0587
53,v2,0.6566,0.3804,0.2985,0.5294
53,v3,0.6052,0.3729,0.2909,0.4816
53,v4,0.5082,0.2446,0.1639,0.3192
53,v5,0.5631,0.3612,0.2792,0.44
53,v6,0.1859,0.1034,0.058,0.0582
54,v2,0.6554,0.3785,0.2968,0.5283
54,v3,0.6037,0.3708,0.2889,0.4804
54,v4,0.5052,0.2415,0.1619,0.3161
54,v5,0.5617,0.3593,0.2775,0.4388
54,v6,0.1857,0.1034,0.0581,0.0582
55,v2,0.6583,0.3814,0.2991,0.5318
55,v3,0.607,0.3744,0.2918,0.4843
55,v4,0.507,0.2438,0.1635,0.3179
55,v5,0.5654,0.3629,0.2804,0.4431
55,v6,0.1862,0.1037,0.0583,0.0588
56,v2,0.6581,0.3824,0.3002,0.5331
56,v3,0.6074,0.3754,0.2928,0.4861
56,v4,0.5077,0.2455,0.1647,0.3213
56,v5,0.5653,0.3638,0.2812,0.4441
56,v6,0.186,0.1042,0.0586,0.0591
57,v2,0.6578,0.3809,0.2994,0.5315
57,v3,0.6067,0.3742,0.2922,0.4842
57,v4,0.5079,0.2446,0.1642,0.3194
57,v5,0.5653,0.3631,0.281,0.4433
57,v6,0.1862,0.104,0.0584,0.0588
58,v2,0.6594,0.382,0.2995,0.5335
58,v3,0.6084,0.3751,0.2923,0.4862
58,v4,0.5079,0.2443,0.1638,0.3197
58,v5,0.5663,0.3636,0.2808,0.4443
58,v6,0.1863,0.1036,0.0582,0.059
59,v2,0.6572,0.3783,0.2974,0.5301
59,v3,0.6062,0.3714,0.2901,0.4829
59,v4,0.5072,0.2418,0.1624,0.3179
59,v5,0.5641,0.3601,0.2788,0.4412
59,v6,0.1867,0.1035,0.0582,0.0592
60,v2,0.6556,0.3789,0.2968,0.5276
60,v3,0.6039,0.3716,0.2893,0.4797
60,v4,0.5074,0.2439,0.1635,0.3177
60,v5,0.5617,0.3597,0.2776,0.4379
60,v6,0.1868,0.1038,0.0583,0.0593
61,v2,0.6591,0.3807,0.2994,0.5329
61,v3,0.6082,0.3742,0.2926,0.4859
61,v4,0.5085,0.2446,0.1641,0.3203
61,v5,0.5663,0.3628,0.281,0.4442
61,v6,0.1866,0.1034,0.0581,0.0593
62,v2,0.6614,0.3828,0.3017,0.5363
62,v3,0.6101,0.3763,0.2944,0.4885
62,v4,0.5087,0.2451,0.1647,0.3207
62,v5,0.5683,0.3648,0.283,0.447
62,v6,0.1871,0.1043,0.0586,0.0601
63,v2,0.6542,0.3767,0.2953,0.5273
63,v3,0.6037,0.3698,0.2881,0.4807
63,v4,0.5043,0.2417,0.1619,0.3161
63,v5,0.5623,0.3589,0.277,0.4399
63,v6,0.1865,0.1038,0.0583,0.0594
64,v2,0.6517,0.3752,0.2943,0.5232
64,v3,0.6017,0.3691,0.2877,0.4776
64,v4,0.5031,0.2405,0.1612,0.3132
64,v5,0.5602,0.3581,0.2766,0.4367
64,v6,0.1862,0.1035,0.0581,0.0589
65,v2,0.6546,0.378,0.2968,0.5266
65,v3,0.6036,0.3713,0.2897,0.4796
65,v4,0.5087,0.2441,0.164,0.3197
65,v5,0.5618,0.36,0.2784,0.4383
65,v6,0.1867,0.104,0.0584,0.0592
66,v2,0.6564,0.3775,0.2963,0.5293
66,v3,0.6063,0.3714,0.2896,0.4834
66,v4,0.505,0.2402,0.1612,0.3155
66,v5,0.5645,0.3603,0.2784,0.4419
66,v6,0.1864,0.1034,0.0581,0.059
67,v2,0.6564,0.379,0.2974,0.5294
67,v3,0.6053,0.3718,0.2899,0.4821
67,v4,0.5065,0.2422,0.1624,0.3178
67,v5,0.5636,0.3607,0.2787,0.4409
67,v6,0.1865,0.1035,0.0581,0.0592
68,v2,0.6581,0.3799,0.2985,0.5328
68,v3,0.6073,0.3729,0.2911,0.4857
68,v4,0.5077,0.2445,0.1641,0.3212
68,v5,0.5656,0.3616,0.2798,0.4443
68,v6,0.1868,0.1041,0.0585,0.06
69,v2,0.6531,0.3776,0.2965,0.5252
69,v3,0.6028,0.3707,0.2893,0.4791
69,v4,0.5036,0.2405,0.1613,0.3138
69,v5,0.561,0.3598,0.2782,0.4378
