version,W,n,cls,sd_simple,sd_strat,strat_efficiency
v2,3,200,Harvest,0.15819,0.06916,0.437
v2,3,200,Development,0.18329,0.08476,0.462
v2,3,200,Insect/Disease,0.10325,0.05648,0.547
v2,3,200,Beaver,0.04417,0.0134,0.303
v2,3,500,Stable,0.00677,0.01569,2.319
v2,3,500,Harvest,0.08685,0.04434,0.511
v2,3,500,Development,0.16758,0.06935,0.414
v2,3,500,Insect/Disease,0.04441,0.02554,0.575
v2,3,500,Beaver,0.02484,0.00605,0.244
v2,3,1000,Stable,0.00493,0.01057,2.146
v2,3,1000,Harvest,0.05997,0.03625,0.604
v2,3,1000,Development,0.0714,0.02741,0.384
v2,3,1000,Insect/Disease,0.03828,0.02252,0.588
v2,3,1000,Beaver,0.00778,0.00569,0.731
v2,3,2000,Stable,0.0035,0.00662,1.893
v2,3,2000,Harvest,0.04622,0.02201,0.476
v2,3,2000,Development,0.04382,0.02462,0.562
v2,3,2000,Insect/Disease,0.0152,0.02183,1.436
v2,3,2000,Beaver,0.00463,0.00537,1.161
v2,3,5000,Stable,0.00211,0.00432,2.044
v2,3,5000,Harvest,0.03118,0.01785,0.573
v2,3,5000,Development,0.01724,0.01284,0.745
v2,3,5000,Insect/Disease,0.01108,0.01019,0.92
v2,3,5000,Beaver,0.00319,0.00414,1.3
v2,5,20,Stable,0.03053,0.06753,2.212
v2,5,20,Harvest,0.34499,0.1862,0.54
v2,5,20,Development,,0.21894,
v2,5,20,Insect/Disease,0.00187,0.15186,81.178
v2,5,20,Beaver,,0.17115,
v2,5,50,Stable,0.01858,0.03802,2.046
v2,5,50,Harvest,0.20343,0.1144,0.562
v2,5,50,Development,,0.13127,
v2,5,50,Insect/Disease,0.27127,0.12046,0.444
v2,5,50,Beaver,0.14765,0.0261,0.177
v2,5,100,Stable,0.0133,0.03098,2.329
v2,5,100,Harvest,0.18137,0.07707,0.425
v2,5,100,Development,0.07576,0.07614,1.005
v2,5,100,Insect/Disease,0.08849,0.06468,0.731
v2,5,100,Beaver,0.09859,0.01524,0.155
v2,5,200,Stable,0.01099,0.02203,2.004
v2,5,200,Harvest,0.13842,0.06573,0.475
v2,5,200,Development,0.03927,0.06992,1.78
v2,5,200,Insect/Disease,0.08714,0.0582,0.668
v2,5,200,Beaver,0.02638,0.02239,0.849
v2,5,500,Stable,0.00652,0.01602,2.456
v2,5,500,Harvest,0.109,0.05948,0.546
v2,5,500,Development,0.11659,0.04041,0.347
v2,5,500,Insect/Disease,0.03378,0.03086,0.914
v2,5,500,Beaver,0.01934,0.00661,0.342
v2,5,1000,Stable,0.00501,0.00962,1.921
v2,5,1000,Harvest,0.06131,0.03288,0.536
v2,5,1000,Development,0.04203,0.01639,0.39
v2,5,1000,Insect/Disease,0.02261,0.02531,1.119
v2,5,1000,Beaver,0.0073,0.00615,0.842
v2,5,2000,Stable,0.00326,0.00785,2.407
v2,5,2000,Harvest,0.04443,0.02509,0.565
v2,5,2000,Development,0.03431,0.00778,0.227
v2,5,2000,Insect/Disease,0.01641,0.01554,0.947
v2,5,2000,Beaver,0.00465,0.0048,1.033
v2,5,5000,Stable,0.00222,0.00371,1.668
v2,5,5000,Harvest,0.02508,0.01435,0.572
v2,5,5000,Development,0.01345,0.01469,1.092
v2,5,5000,Insect/Disease,0.01001,0.01663,1.661
v2,5,5000,Beaver,0.0033,0.00409,1.239
v2,7,20,Stable,0.02717,0.07697,2.833
v2,7,20,Harvest,0.16698,0.18252,1.093
v2,7,20,Development,,0.18049,
v2,7,20,Insect/Disease,0.08226,0.14506,1.763
v2,7,20,Beaver,0.11805,0.132,1.118
v2,7,50,Stable,0.01954,0.03911,2.002
v2,7,50,Harvest,0.21303,0.11311,0.531
v2,7,50,Development,0.04342,0.11517,2.652
v2,7,50,Insect/Disease,0.0956,0.09293,0.972
v2,7,50,Beaver,0.06662,0.04374,0.657
v2,7,100,Stable,0.0133,0.03173,2.385
v2,7,100,Harvest,0.17163,0.10273,0.599
v2,7,100,Development,0.13974,0.07586,0.543
v2,7,100,Insect/Disease,0.1462,0.05444,0.372
v2,7,100,Beaver,0.02268,0.00941,0.415
v2,7,200,Stable,0.00946,0.02562,2.707
