design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
strat,v2,1,5000,Development,f1,0.0134,0.016,0.0099,0.00265,0.0
strat,v2,1,5000,Insect/Disease,f1,0.0195,0.0206,0.00487,0.00114,0.0
strat,v2,1,5000,Beaver,f1,0.0038,0.0039,0.00049,5e-05,0.0
simple,v2,3,20,Stable,recall,0.8958,0.8955,0.0581,-0.00023,0.0
simple,v2,3,20,Harvest,recall,0.0764,0.0385,0.1586,-0.03783,0.73
simple,v2,3,20,Development,recall,0.0917,0.0,0.0,-0.09171,0.98
simple,v2,3,20,Insect/Disease,recall,0.0716,0.0455,0.2132,-0.02614,0.78
simple,v2,3,20,Beaver,recall,0.3294,0.8214,0.35714,0.49201,0.96
simple,v2,3,20,Stable,precision,0.9867,0.9884,0.0203,0.00169,0.0
simple,v2,3,20,Harvest,precision,0.0892,0.1196,0.31864,0.03041,0.77
simple,v2,3,20,Development,precision,0.0072,0.0,0.0,-0.00725,0.76
simple,v2,3,20,Insect/Disease,precision,0.0113,0.0022,0.01571,-0.00909,0.5
simple,v2,3,20,Beaver,precision,0.0019,0.0106,0.05348,0.00869,0.06
simple,v2,3,20,Stable,f1,0.939,0.9385,0.03319,-0.00051,0.0
simple,v2,3,20,Harvest,f1,0.0823,0.3942,0.33637,0.31193,0.97
simple,v2,3,20,Development,f1,0.0134,,,,1.0
simple,v2,3,20,Insect/Disease,f1,0.0195,0.2,,0.18046,0.99
simple,v2,3,20,Beaver,f1,0.0038,0.3636,0.14254,0.35982,0.96
strat,v2,3,20,Stable,recall,0.8958,0.8998,0.13298,0.00398,0.0
strat,v2,3,20,Harvest,recall,0.0764,0.0838,0.13219,0.00747,0.0
strat,v2,3,20,Development,recall,0.0917,0.0824,0.12201,-0.00936,0.0
strat,v2,3,20,Insect/Disease,recall,0.0716,0.0652,0.11882,-0.00638,0.0
strat,v2,3,20,Beaver,recall,0.3294,0.3757,0.25734,0.04624,0.0
strat,v2,3,20,Stable,precision,0.9867,0.9854,0.01843,-0.00125,0.0
strat,v2,3,20,Harvest,precision,0.0892,0.4003,0.40778,0.3111,0.29
strat,v2,3,20,Development,precision,0.0072,0.3912,0.41012,0.38392,0.37
strat,v2,3,20,Insect/Disease,precision,0.0113,0.1913,0.30391,0.18,0.32
strat,v2,3,20,Beaver,precision,0.0019,0.1447,0.24805,0.14277,0.02
strat,v2,3,20,Stable,f1,0.939,0.9348,0.08393,-0.00423,0.0
strat,v2,3,20,Harvest,f1,0.0823,0.269,0.17982,0.18672,0.55
strat,v2,3,20,Development,f1,0.0134,0.249,0.17417,0.2356,0.57
strat,v2,3,20,Insect/Disease,f1,0.0195,0.2222,0.1538,0.20262,0.7
strat,v2,3,20,Beaver,f1,0.0038,0.1594,0.1926,0.15554,0.12
simple,v2,3,50,Stable,recall,0.8958,0.8981,0.03738,0.0023,0.0
simple,v2,3,50,Harvest,recall,0.0764,0.0064,0.03528,-0.06999,0.39
simple,v2,3,50,Development,recall,0.0917,0.0,0.0,-0.09171,0.91
simple,v2,3,50,Insect/Disease,recall,0.0716,0.1179,0.30023,0.04633,0.61
simple,v2,3,50,Beaver,recall,0.3294,0.2449,0.4263,-0.08452,0.93
simple,v2,3,50,Stable,precision,0.9867,0.9872,0.01223,0.00049,0.0
simple,v2,3,50,Harvest,precision,0.0892,0.0408,0.19991,-0.04834,0.51
simple,v2,3,50,Development,precision,0.0072,0.0,0.0,-0.00725,0.38
simple,v2,3,50,Insect/Disease,precision,0.0113,0.0311,0.13208,0.01977,0.12
simple,v2,3,50,Beaver,precision,0.0019,0.0023,0.01645,0.00039,0.0
simple,v2,3,50,Stable,f1,0.939,0.94,0.02084,0.00101,0.0
simple,v2,3,50,Harvest,f1,0.0823,0.3247,0.0551,0.24241,0.98
simple,v2,3,50,Development,f1,0.0134,,,,1.0
simple,v2,3,50,Insect/Disease,f1,0.0195,0.4506,0.31547,0.43105,0.93
simple,v2,3,50,Beaver,f1,0.0038,0.202,0.02857,0.1982,0.98
