version,W,n,oa_sd_10,oa_bias_10,mf1_sd_10,mf1_bias_10,oa_sd_5,oa_bias_5,mf1_sd_5,mf1_bias_5,deff_10,deff_5
v5,5,5000,0.00526,-0.00021,0.01998,0.01138,0.00488,0.00054,0.02023,0.01204,14.109,16.622
v5,7,20,0.08542,-0.0233,0.08889,0.1987,0.07947,-0.00693,0.15181,0.61728,29.176,34.629
v5,7,50,0.05089,0.0013,0.06363,0.19217,0.04232,0.00588,0.19815,0.54337,25.893,24.557
v5,7,100,0.03472,-0.00049,0.05833,0.16711,0.02855,0.00279,0.21762,0.4323,24.097,22.348
v5,7,200,0.02595,-0.00218,0.06001,0.13895,0.02512,-0.00084,0.18833,0.2854,26.932,34.589
v5,7,500,0.01877,-0.00261,0.04806,0.08482,0.01466,-0.00244,0.10055,0.13643,35.205,29.466
v5,7,1000,0.01205,-0.00172,0.03325,0.04066,0.01145,-5e-05,0.04754,0.05366,29.025,35.913
v5,7,2000,0.00933,-0.00163,0.02409,0.0198,0.00721,0.00032,0.02811,0.02288,34.83,28.503
v5,7,5000,0.00519,-0.00025,0.01264,0.00375,0.0047,0.00092,0.01193,0.00315,26.892,30.31
v5,9,20,0.08682,-0.01273,0.08944,0.18266,0.07865,0.00257,0.15266,0.62211,49.839,56.068
v5,9,50,0.04839,0.00327,0.0685,0.18467,0.04669,0.00466,0.20965,0.50991,38.703,49.399
v5,9,100,0.03877,-0.00204,0.06318,0.14914,0.02858,-0.00183,0.21957,0.36065,49.663,37.031
v5,9,200,0.0222,0.00042,0.05413,0.12249,0.02415,-0.00075,0.16553,0.23101,32.581,52.869
v5,9,500,0.01717,0.00132,0.04339,0.06212,0.01525,0.00119,0.08385,0.09812,48.728,52.698
v5,9,1000,0.01247,0.00042,0.02959,0.02876,0.0103,-0.00041,0.04793,0.03847,51.41,48.075
v5,9,2000,0.0085,0.00071,0.02069,0.01216,0.00759,0.00015,0.02242,0.0121,47.77,52.265
v5,9,5000,0.00569,0.00027,0.00908,0.00211,0.00443,2e-05,0.00831,0.00113,53.491,44.568
v6,1,20,0.09472,-0.00589,0.12539,0.28242,0.09548,0.001,0.06386,0.67868,1.178,0.971
v6,1,50,0.06396,-0.00319,0.06629,0.16987,0.0551,-0.0063,0.06643,0.66503,1.343,0.809
v6,1,100,0.03486,-0.00289,0.04118,0.11171,0.048,0.0017,0.09022,0.6531,0.798,1.227
v6,1,200,0.02614,0.00211,0.03208,0.08488,0.03007,-0.0034,0.13382,0.62646,0.897,0.963
v6,1,500,0.01746,-0.00107,0.02254,0.06193,0.01998,-0.00084,0.22189,0.47141,1.001,1.064
v6,1,1000,0.01296,0.00047,0.01619,0.04726,0.01408,0.00033,0.20883,0.37275,1.102,1.055
v6,1,2000,0.00935,0.00102,0.01438,0.03971,0.00893,-0.00069,0.16941,0.24404,1.147,0.849
v6,1,5000,0.00518,0.00019,0.01245,0.02577,0.00597,0.0004,0.08694,0.13964,0.88,0.948
v6,3,20,0.04205,-0.00568,0.04762,0.08932,0.06912,-0.01688,0.09193,0.65008,2.086,4.597
v6,3,50,0.02917,-0.00287,0.03486,0.06525,0.0387,-0.00016,0.18767,0.55804,2.509,3.603
