design,version,W,n,metric,census,mean,sd,bias,lo,hi
strat,v2,3,50,A_kappa,0.0436,0.1838,0.06597,0.14023,0.0562,0.3081
strat,v2,3,50,A_macrof1,0.2183,0.3564,0.0619,0.13816,0.2545,0.487
strat,v2,3,50,B_oa,0.8784,0.8828,0.09647,0.0044,0.6918,0.9902
strat,v2,3,50,C_oa,0.8781,0.8827,0.0965,0.00465,0.6918,0.9902
strat,v2,3,50,A_oa_wtd,0.8718,0.8782,0.08247,0.00638,0.7302,0.9889
strat,v2,3,50,A_macrof1_wtd,0.2183,0.3151,0.0603,0.09688,0.2161,0.4523
strat,v2,3,50,C_frac_majority,,0.9956,0.00925,,,
simple,v2,3,100,A_oa,0.8718,0.8685,0.02944,-0.00332,0.8108,0.9211
simple,v2,3,100,A_kappa,0.0436,0.0372,0.05366,-0.00634,-0.0192,0.1652
simple,v2,3,100,A_macrof1,0.2183,0.8271,0.16243,0.6088,0.5091,0.9553
simple,v2,3,100,B_oa,0.8784,0.8747,0.03148,-0.00369,0.8147,0.93
simple,v2,3,100,C_oa,0.8781,0.8745,0.03138,-0.00357,0.8147,0.93
simple,v2,3,100,A_oa_wtd,0.8718,0.8685,0.02944,-0.00332,0.8108,0.9211
simple,v2,3,100,A_macrof1_wtd,0.2183,0.8271,0.16243,0.6088,0.5091,0.9553
simple,v2,3,100,C_frac_majority,,0.999,0.00333,,,
strat,v2,3,100,A_oa,0.8718,0.4651,0.02921,-0.40673,0.4183,0.5222
strat,v2,3,100,A_kappa,0.0436,0.1716,0.04667,0.128,0.0946,0.2608
strat,v2,3,100,A_macrof1,0.2183,0.3176,0.03965,0.09932,0.2553,0.3993
strat,v2,3,100,B_oa,0.8784,0.8695,0.07202,-0.00888,0.7411,0.9882
strat,v2,3,100,C_oa,0.8781,0.8689,0.072,-0.00913,0.7411,0.988
strat,v2,3,100,A_oa_wtd,0.8718,0.8677,0.06629,-0.00406,0.7309,0.9876
strat,v2,3,100,A_macrof1_wtd,0.2183,0.2648,0.04078,0.04652,0.1849,0.3576
strat,v2,3,100,C_frac_majority,,0.995,0.00732,,,
simple,v2,3,200,A_oa,0.8718,0.8696,0.01895,-0.0022,0.8293,0.9075
simple,v2,3,200,A_kappa,0.0436,0.0374,0.04263,-0.00615,-0.014,0.1349
simple,v2,3,200,A_macrof1,0.2183,0.6906,0.21034,0.47231,0.3993,0.947
simple,v2,3,200,B_oa,0.8784,0.8754,0.02099,-0.00294,0.8374,0.915
simple,v2,3,200,C_oa,0.8781,0.8751,0.0208,-0.00292,0.8374,0.9126
simple,v2,3,200,A_oa_wtd,0.8718,0.8696,0.01895,-0.0022,0.8293,0.9075
simple,v2,3,200,A_macrof1_wtd,0.2183,0.6906,0.21034,0.47231,0.3993,0.947
simple,v2,3,200,C_frac_majority,,0.9986,0.00265,,,
strat,v2,3,200,A_oa,0.8718,0.4636,0.02139,-0.40822,0.4238,0.5039
strat,v2,3,200,A_kappa,0.0436,0.17,0.03111,0.12639,0.1196,0.23
strat,v2,3,200,A_macrof1,0.2183,0.3162,0.03085,0.09798,0.2665,0.3855
strat,v2,3,200,B_oa,0.8784,0.8686,0.05667,-0.00982,0.7426,0.9399
strat,v2,3,200,C_oa,0.8781,0.8684,0.05666,-0.00964,0.7424,0.9399
strat,v2,3,200,A_oa_wtd,0.8718,0.8625,0.05299,-0.00926,0.7583,0.9367
strat,v2,3,200,A_macrof1_wtd,0.2183,0.2429,0.03224,0.02465,0.1912,0.3202
strat,v2,3,200,C_frac_majority,,0.995,0.005,,,
simple,v2,3,500,A_oa,0.8718,0.8729,0.01217,0.00109,0.8511,0.8979
simple,v2,3,500,A_kappa,0.0436,0.0422,0.029,-0.00132,-0.0076,0.1114
simple,v2,3,500,A_macrof1,0.2183,0.4949,0.19639,0.27665,0.2814,0.9382
simple,v2,3,500,B_oa,0.8784,0.88,0.01335,0.00165,0.856,0.91
simple,v2,3,500,C_oa,0.8781,0.8797,0.01301,0.00167,0.8569,0.908
simple,v2,3,500,A_oa_wtd,0.8718,0.8729,0.01217,0.00109,0.8511,0.8979
simple,v2,3,500,A_macrof1_wtd,0.2183,0.4949,0.19639,0.27665,0.2814,0.9382
simple,v2,3,500,C_frac_majority,,0.9983,0.00178,,,
strat,v2,3,500,A_oa,0.8718,0.4684,0.01173,-0.40335,0.4494,0.4915
strat,v2,3,500,A_kappa,0.0436,0.1774,0.0185,0.13381,0.1424,0.2184
strat,v2,3,500,A_macrof1,0.2183,0.3201,0.01708,0.10183,0.2873,0.3509
strat,v2,3,500,B_oa,0.8784,0.8801,0.03284,0.00171,0.8256,0.9387
strat,v2,3,500,C_oa,0.8781,0.8798,0.03247,0.0017,0.8255,0.9386
strat,v2,3,500,A_oa_wtd,0.8718,0.8738,0.02916,0.00196,0.8196,0.9274
strat,v2,3,500,A_macrof1_wtd,0.2183,0.2272,0.01984,0.00894,0.1974,0.2717
strat,v2,3,500,C_frac_majority,,0.9951,0.00303,,,
simple,v2,3,1000,A_oa,0.8718,0.872,0.00991,0.00016,0.8539,0.8898
simple,v2,3,1000,A_kappa,0.0436,0.047,0.01937,0.00344,0.0168,0.0892
simple,v2,3,1000,A_macrof1,0.2183,0.3686,0.09237,0.15038,0.2495,0.5642
simple,v2,3,1000,B_oa,0.8784,0.8786,0.0108,0.00024,0.8585,0.899
simple,v2,3,1000,C_oa,0.8781,0.8781,0.01082,6e-05,0.858,0.898
simple,v2,3,1000,A_oa_wtd,0.8718,0.872,0.00991,0.00016,0.8539,0.8898
simple,v2,3,1000,A_macrof1_wtd,0.2183,0.3686,0.09237,0.15038,0.2495,0.5642
simple,v2,3,1000,C_frac_majority,,0.9986,0.00114,,,
strat,v2,3,1000,A_oa,0.8718,0.468,0.00974,-0.4038,0.4491,0.4854
strat,v2,3,1000,A_kappa,0.0436,0.1761,0.01399,0.13253,0.1494,0.2044
strat,v2,3,1000,A_macrof1,0.2183,0.3199,0.01277,0.1016,0.2973,0.3423
strat,v2,3,1000,B_oa,0.8784,0.8772,0.02148,-0.00123,0.8331,0.9174
strat,v2,3,1000,C_oa,0.8781,0.8767,0.02162,-0.00138,0.8331,0.9171
strat,v2,3,1000,A_oa_wtd,0.8718,0.8711,0.0194,-0.00068,0.8372,0.9088
strat,v2,3,1000,A_macrof1_wtd,0.2183,0.2207,0.01205,0.00241,0.2036,0.252
strat,v2,3,1000,C_frac_majority,,0.995,0.00225,,,
simple,v2,3,2000,A_oa,0.8718,0.8711,0.00735,-0.00068,0.8584,0.8829
simple,v2,3,2000,A_kappa,0.0436,0.0414,0.0123,-0.00219,0.0191,0.0675
