design,version,W,n,cls,frac_absent
simple,v3,3,1000,Beaver,0.0
strat,v3,3,1000,Stable,0.0
strat,v3,3,1000,Harvest,0.0
strat,v3,3,1000,Development,0.0
strat,v3,3,1000,Insect/Disease,0.0
strat,v3,3,1000,Beaver,0.0
simple,v3,3,2000,Stable,0.0
simple,v3,3,2000,Harvest,0.0
simple,v3,3,2000,Development,0.0
simple,v3,3,2000,Insect/Disease,0.0
simple,v3,3,2000,Beaver,0.0
strat,v3,3,2000,Stable,0.0
strat,v3,3,2000,Harvest,0.0
strat,v3,3,2000,Development,0.0
strat,v3,3,2000,Insect/Disease,0.0
strat,v3,3,2000,Beaver,0.0
simple,v3,3,5000,Stable,0.0
simple,v3,3,5000,Harvest,0.0
simple,v3,3,5000,Development,0.0
simple,v3,3,5000,Insect/Disease,0.0
simple,v3,3,5000,Beaver,0.0
strat,v3,3,5000,Stable,0.0
strat,v3,3,5000,Harvest,0.0
strat,v3,3,5000,Development,0.0
strat,v3,3,5000,Insect/Disease,0.0
strat,v3,3,5000,Beaver,0.0
simple,v3,5,20,Stable,0.0
simple,v3,5,20,Harvest,0.26
simple,v3,5,20,Development,0.43
simple,v3,5,20,Insect/Disease,0.25
simple,v3,5,20,Beaver,0.0
strat,v3,5,20,Stable,0.0
strat,v3,5,20,Harvest,0.0
strat,v3,5,20,Development,0.0
strat,v3,5,20,Insect/Disease,0.0
strat,v3,5,20,Beaver,0.0
simple,v3,5,50,Stable,0.0
simple,v3,5,50,Harvest,0.08
simple,v3,5,50,Development,0.06
simple,v3,5,50,Insect/Disease,0.01
simple,v3,5,50,Beaver,0.0
strat,v3,5,50,Stable,0.0
strat,v3,5,50,Harvest,0.0
strat,v3,5,50,Development,0.0
strat,v3,5,50,Insect/Disease,0.0
strat,v3,5,50,Beaver,0.0
simple,v3,5,100,Stable,0.0
simple,v3,5,100,Harvest,0.0
simple,v3,5,100,Development,0.0
simple,v3,5,100,Insect/Disease,0.0
simple,v3,5,100,Beaver,0.0
strat,v3,5,100,Stable,0.0
strat,v3,5,100,Harvest,0.0
strat,v3,5,100,Development,0.0
strat,v3,5,100,Insect/Disease,0.0
strat,v3,5,100,Beaver,0.0
simple,v3,5,200,Stable,0.0
simple,v3,5,200,Harvest,0.0
simple,v3,5,200,Development,0.0
simple,v3,5,200,Insect/Disease,0.0
simple,v3,5,200,Beaver,0.0
strat,v3,5,200,Stable,0.0
strat,v3,5,200,Harvest,0.0
strat,v3,5,200,Development,0.0
strat,v3,5,200,Insect/Disease,0.0
strat,v3,5,200,Beaver,0.0
simple,v3,5,500,Stable,0.0
simple,v3,5,500,Harvest,0.0
simple,v3,5,500,Development,0.0
simple,v3,5,500,Insect/Disease,0.0
simple,v3,5,500,Beaver,0.0
strat,v3,5,500,Stable,0.0
strat,v3,5,500,Harvest,0.0
strat,v3,5,500,Development,0.0
strat,v3,5,500,Insect/Disease,0.0
strat,v3,5,500,Beaver,0.0
simple,v3,5,1000,Stable,0.0
simple,v3,5,1000,Harvest,0.0
