version,W,n,cls,sd_simple,sd_strat,strat_efficiency
v4,7,5000,Urban,0.00879,0.00691,0.786
v4,7,5000,Water,0.01601,0.01768,1.105
v4,7,5000,Agriculture,0.01234,0.01612,1.306
v4,7,5000,Grass/Shrub,0.01523,0.01302,0.855
v4,7,5000,Wetland,0.01295,0.01585,1.224
v4,7,5000,Beaver,0.01751,0.0158,0.902
v4,7,5000,Insect/Disease,0.00982,0.01176,1.198
v4,9,20,Harvest,0.13569,0.15233,1.123
v4,9,20,Development,0.30509,0.09356,0.307
v4,9,20,Forest,0.07849,0.18758,2.39
v4,9,20,Urban,0.1131,0.11574,1.023
v4,9,20,Water,0.27177,0.27372,1.007
v4,9,20,Agriculture,0.21917,0.25128,1.146
v4,9,20,Grass/Shrub,0.1657,0.20198,1.219
v4,9,20,Wetland,0.13977,0.16631,1.19
v4,9,20,Beaver,0.16533,0.22507,1.361
v4,9,20,Insect/Disease,0.13938,0.10255,0.736
v4,9,50,Harvest,0.2564,0.10314,0.402
v4,9,50,Development,0.1111,0.03749,0.337
v4,9,50,Forest,0.05919,0.09985,1.687
v4,9,50,Urban,0.07983,0.08237,1.032
v4,9,50,Water,0.17563,0.16791,0.956
v4,9,50,Agriculture,0.12443,0.1744,1.402
v4,9,50,Grass/Shrub,0.11604,0.13859,1.194
v4,9,50,Wetland,0.10564,0.12158,1.151
v4,9,50,Beaver,0.18316,0.1062,0.58
v4,9,50,Insect/Disease,0.05341,0.04871,0.912
v4,9,100,Harvest,0.11534,0.0705,0.611
v4,9,100,Development,0.02019,0.01436,0.711
v4,9,100,Forest,0.03914,0.07908,2.02
v4,9,100,Urban,0.06877,0.05207,0.757
v4,9,100,Water,0.13829,0.12583,0.91
v4,9,100,Agriculture,0.09689,0.11588,1.196
v4,9,100,Grass/Shrub,0.07555,0.08723,1.155
v4,9,100,Wetland,0.07044,0.09794,1.39
v4,9,100,Beaver,0.09051,0.04406,0.487
v4,9,100,Insect/Disease,0.13315,0.06302,0.473
v4,9,200,Harvest,0.08348,0.06181,0.74
v4,9,200,Development,0.0585,0.01391,0.238
v4,9,200,Forest,0.02584,0.05235,2.026
v4,9,200,Urban,0.04704,0.04019,0.854
v4,9,200,Water,0.08571,0.08708,1.016
v4,9,200,Agriculture,0.06577,0.07196,1.094
v4,9,200,Grass/Shrub,0.05537,0.06565,1.186
v4,9,200,Wetland,0.06178,0.06161,0.997
v4,9,200,Beaver,0.07101,0.04274,0.602
v4,9,200,Insect/Disease,0.09075,0.0372,0.41
v4,9,500,Harvest,0.06818,0.04422,0.649
v4,9,500,Development,0.02703,0.01242,0.459
v4,9,500,Forest,0.01837,0.03726,2.028
v4,9,500,Urban,0.02274,0.02246,0.988
v4,9,500,Water,0.05007,0.04672,0.933
v4,9,500,Agriculture,0.03631,0.04764,1.312
v4,9,500,Grass/Shrub,0.03343,0.04034,1.207
v4,9,500,Wetland,0.03471,0.04473,1.289
v4,9,500,Beaver,0.07058,0.02219,0.314
v4,9,500,Insect/Disease,0.03312,0.02273,0.686
v4,9,1000,Harvest,0.04846,0.02849,0.588
v4,9,1000,Development,0.01476,0.00758,0.514
v4,9,1000,Forest,0.01182,0.02417,2.044
v4,9,1000,Urban,0.01686,0.01468,0.871
v4,9,1000,Water,0.04274,0.0396,0.927
v4,9,1000,Agriculture,0.02556,0.03744,1.465
v4,9,1000,Grass/Shrub,0.02994,0.02467,0.824
v4,9,1000,Wetland,0.02427,0.03071,1.265
v4,9,1000,Beaver,0.01739,0.02869,1.65
v4,9,1000,Insect/Disease,0.01257,0.01826,1.452
v4,9,2000,Harvest,0.03501,0.02287,0.653
v4,9,2000,Development,0.01517,0.00549,0.362
v4,9,2000,Forest,0.00863,0.01597,1.85
v4,9,2000,Urban,0.01568,0.01065,0.679
v4,9,2000,Water,0.02603,0.029,1.114
v4,9,2000,Agriculture,0.01993,0.02406,1.207
v4,9,2000,Grass/Shrub,0.01779,0.0217,1.219
v4,9,2000,Wetland,0.01846,0.02246,1.216
v4,9,2000,Beaver,0.02666,0.02004,0.752
v4,9,2000,Insect/Disease,0.01401,0.00868,0.62
v4,9,5000,Harvest,0.02539,0.01437,0.566
v4,9,5000,Development,0.00593,0.00545,0.92
v4,9,5000,Forest,0.00536,0.01052,1.964
v4,9,5000,Urban,0.00833,0.00626,0.752
v4,9,5000,Water,0.01809,0.01493,0.825
v4,9,5000,Agriculture,0.01116,0.01325,1.188
v4,9,5000,Grass/Shrub,0.01147,0.01351,1.179
v4,9,5000,Wetland,0.01189,0.01209,1.017
v4,9,5000,Beaver,0.01596,0.01973,1.237
v4,9,5000,Insect/Disease,0.01008,0.01,0.992
v5,1,20,Harvest,0.0,0.22925,
v5,1,20,Development,,0.30344,
v5,1,20,Forest,0.14787,0.15526,1.05
v5,1,20,Urban,0.19313,0.27259,1.411
v5,1,20,Water,0.09752,0.11584,1.188
v5,1,20,Agriculture,0.15105,0.18446,1.221
v5,1,20,Grass/Shrub,0.18301,0.18292,0.999
v5,1,20,Wetland,0.22203,0.16294,0.734
v5,1,20,Beaver,,0.23999,
v5,1,20,Insect/Disease,,0.2719,
v5,1,50,Harvest,0.124,0.18403,1.484
v5,1,50,Development,,0.16828,
v5,1,50,Forest,0.08416,0.16723,1.987
v5,1,50,Urban,0.18382,0.20457,1.113
v5,1,50,Water,0.09893,0.08643,0.874
v5,1,50,Agriculture,0.132,0.12809,0.97
v5,1,50,Grass/Shrub,0.14847,0.15562,1.048
v5,1,50,Wetland,0.14881,0.17824,1.198
v5,1,50,Beaver,,0.04871,
v5,1,50,Insect/Disease,0.0,0.15005,
v5,1,100,Harvest,0.07767,0.11403,1.468
v5,1,100,Development,,0.09962,
v5,1,100,Forest,0.0544,0.13717,2.522
v5,1,100,Urban,0.17243,0.16714,0.969
v5,1,100,Water,0.0743,0.06013,0.809
v5,1,100,Agriculture,0.07255,0.08117,1.119
v5,1,100,Grass/Shrub,0.13735,0.13173,0.959
v5,1,100,Wetland,0.12813,0.1313,1.025
v5,1,100,Beaver,0.02187,0.00557,0.255
v5,1,100,Insect/Disease,0.36717,0.10847,0.295
v5,1,200,Harvest,0.09012,0.0506,0.561
v5,1,200,Development,,0.04413,
v5,1,200,Forest,0.04016,0.09224,2.297
v5,1,200,Urban,0.1365,0.11591,0.849
v5,1,200,Water,0.04379,0.04422,1.01
v5,1,200,Agriculture,0.05454,0.06538,1.199
v5,1,200,Grass/Shrub,0.09606,0.10424,1.085
v5,1,200,Wetland,0.0956,0.1056,1.105
v5,1,200,Beaver,0.00992,0.00115,0.116
v5,1,200,Insect/Disease,0.02749,0.06499,2.364
v5,1,500,Harvest,0.03759,0.03827,1.018
v5,1,500,Development,0.04714,0.00533,0.113
v5,1,500,Forest,0.02953,0.05179,1.754
v5,1,500,Urban,0.10131,0.06703,0.662
v5,1,500,Water,0.0273,0.02534,0.928
v5,1,500,Agriculture,0.03726,0.03751,1.007
v5,1,500,Grass/Shrub,0.05762,0.06576,1.141
v5,1,500,Wetland,0.06672,0.06664,0.999
v5,1,500,Beaver,0.00198,0.00058,0.293
v5,1,500,Insect/Disease,0.03612,0.02467,0.683
v5,1,1000,Harvest,0.02916,0.02101,0.721
v5,1,1000,Development,0.0412,0.00311,0.076
v5,1,1000,Forest,0.01713,0.03388,1.978
v5,1,1000,Urban,0.06855,0.04436,0.647
v5,1,1000,Water,0.01812,0.0212,1.17
v5,1,1000,Agriculture,0.02452,0.02552,1.041
v5,1,1000,Grass/Shrub,0.04088,0.04242,1.038
v5,1,1000,Wetland,0.04672,0.04806,1.029
v5,1,1000,Beaver,0.00304,0.00041,0.133
v5,1,1000,Insect/Disease,0.03069,0.01083,0.353
v5,1,2000,Harvest,0.02095,0.01336,0.638
v5,1,2000,Development,0.01571,0.00205,0.13
v5,1,2000,Forest,0.01168,0.02927,2.506
v5,1,2000,Urban,0.04944,0.0343,0.694
v5,1,2000,Water,0.01449,0.0149,1.028
v5,1,2000,Agriculture,0.01745,0.02037,1.167
v5,1,2000,Grass/Shrub,0.03354,0.03017,0.899
v5,1,2000,Wetland,0.0351,0.032,0.912
v5,1,2000,Beaver,0.00467,0.00029,0.062
v5,1,2000,Insect/Disease,0.01452,0.00749,0.516
v5,1,5000,Harvest,0.01865,0.00842,0.451
v5,1,5000,Development,0.01022,0.00113,0.111
v5,1,5000,Forest,0.00935,0.01547,1.654
v5,1,5000,Urban,0.03062,0.02372,0.775
v5,1,5000,Water,0.00886,0.0094,1.061
v5,1,5000,Agriculture,0.01141,0.0158,1.384
v5,1,5000,Grass/Shrub,0.02058,0.02003,0.973
v5,1,5000,Wetland,0.02023,0.02358,1.165
v5,1,5000,Beaver,0.00216,0.00019,0.086
v5,1,5000,Insect/Disease,0.01048,0.0039,0.372
v5,3,20,Harvest,0.35568,0.22554,0.634
v5,3,20,Development,,0.26153,
v5,3,20,Forest,0.12854,0.25237,1.963
v5,3,20,Urban,0.22833,0.2393,1.048
v5,3,20,Water,0.08197,0.11374,1.388
v5,3,20,Agriculture,0.13981,0.16447,1.176
v5,3,20,Grass/Shrub,0.18456,0.23642,1.281
v5,3,20,Wetland,0.21058,0.23968,1.138
v5,3,20,Beaver,,0.13302,
v5,3,20,Insect/Disease,0.07122,0.29271,4.11
v5,3,50,Harvest,0.23689,0.1228,0.518
