design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
simple,v2,3,100,Forest,0.7056,0.7035,0.0,0.3652,-0.0915
simple,v2,3,100,Urban,0.6405,0.6346,0.0,0.1576,0.0257
simple,v2,3,100,Water,0.9617,0.9604,0.0,0.0627,-0.0005
simple,v2,3,100,Agriculture,0.8371,0.8321,0.0,0.1873,-0.0105
simple,v2,3,100,Grass/Shrub,0.2507,0.2558,0.0,0.3054,0.0176
simple,v2,3,100,Wetland,0.4248,0.4356,0.0,0.2769,-0.0364
simple,v2,3,100,Beaver,0.0308,0.0837,0.89,0.2272,0.0699
simple,v2,3,100,Insect/Disease,0.0291,0.0895,0.43,0.1355,0.0204
strat,v2,3,100,Harvest,0.0874,0.1171,0.0,0.2966,-0.0615
strat,v2,3,100,Development,0.0341,0.1968,0.01,0.228,-0.0474
strat,v2,3,100,Forest,0.7056,0.4829,0.0,0.3829,0.0841
strat,v2,3,100,Urban,0.6405,0.6681,0.0,0.2487,0.0539
strat,v2,3,100,Water,0.9617,0.9542,0.0,0.0829,-0.0021
strat,v2,3,100,Agriculture,0.8371,0.7303,0.0,0.2279,0.0146
strat,v2,3,100,Grass/Shrub,0.2507,0.2615,0.0,0.3066,-0.0175
strat,v2,3,100,Wetland,0.4248,0.3468,0.0,0.2991,-0.0165
strat,v2,3,100,Beaver,0.0308,0.3426,0.0,0.262,0.0292
strat,v2,3,100,Insect/Disease,0.0291,0.11,0.01,0.2351,-0.0369
simple,v2,3,200,Harvest,0.0874,0.1051,0.05,0.116,0.0009
simple,v2,3,200,Development,0.0341,0.038,0.7,0.0674,0.0069
simple,v2,3,200,Forest,0.7056,0.7012,0.0,0.3673,-0.0896
simple,v2,3,200,Urban,0.6405,0.6224,0.0,0.1644,0.0274
simple,v2,3,200,Water,0.9617,0.9626,0.0,0.0679,0.0007
simple,v2,3,200,Agriculture,0.8371,0.8319,0.0,0.1921,-0.011
simple,v2,3,200,Grass/Shrub,0.2507,0.2367,0.0,0.3157,0.0143
simple,v2,3,200,Wetland,0.4248,0.4048,0.0,0.2804,-0.0339
simple,v2,3,200,Beaver,0.0308,0.0862,0.74,0.2224,0.0656
simple,v2,3,200,Insect/Disease,0.0291,0.0342,0.14,0.1381,0.0187
strat,v2,3,200,Harvest,0.0874,0.1243,0.0,0.2944,-0.0633
strat,v2,3,200,Development,0.0341,0.1778,0.0,0.2293,-0.0448
strat,v2,3,200,Forest,0.7056,0.4892,0.0,0.3838,0.0882
strat,v2,3,200,Urban,0.6405,0.6839,0.0,0.251,0.0585
strat,v2,3,200,Water,0.9617,0.9491,0.0,0.0915,0.0001
strat,v2,3,200,Agriculture,0.8371,0.7196,0.0,0.2324,0.0129
strat,v2,3,200,Grass/Shrub,0.2507,0.2802,0.0,0.3047,-0.0228
strat,v2,3,200,Wetland,0.4248,0.355,0.0,0.3009,-0.016
strat,v2,3,200,Beaver,0.0308,0.3317,0.0,0.2637,0.0267
strat,v2,3,200,Insect/Disease,0.0291,0.1392,0.0,0.2281,-0.0395
simple,v2,3,500,Harvest,0.0874,0.0796,0.0,0.1259,-0.0013
simple,v2,3,500,Development,0.0341,0.0538,0.49,0.0724,0.0072
simple,v2,3,500,Forest,0.7056,0.7048,0.0,0.365,-0.0855
simple,v2,3,500,Urban,0.6405,0.6369,0.0,0.1618,0.0259
simple,v2,3,500,Water,0.9617,0.9602,0.0,0.0754,0.0015
simple,v2,3,500,Agriculture,0.8371,0.8399,0.0,0.1901,-0.0116
