design,version,W,n,metric,census,mean,sd,bias,lo,hi
strat,v2,3,50,B_oa,0.6911,0.6813,0.1213,-0.00974,0.4368,0.8803
strat,v2,3,50,C_oa,0.6766,0.6629,0.11533,-0.01366,0.4312,0.8593
strat,v2,3,50,A_oa_wtd,0.6634,0.6517,0.10848,-0.01171,0.4195,0.8112
strat,v2,3,50,A_macrof1_wtd,0.3817,0.4796,0.0733,0.09793,0.3155,0.6071
strat,v2,3,50,C_frac_majority,,0.9828,0.01821,,,
simple,v2,3,100,A_oa,0.6634,0.6588,0.04298,-0.00452,0.5749,0.7358
simple,v2,3,100,A_kappa,0.5375,0.5289,0.05385,-0.00863,0.438,0.6263
simple,v2,3,100,A_macrof1,0.3817,0.5948,0.05171,0.21312,0.4685,0.678
simple,v2,3,100,B_oa,0.6911,0.6856,0.04937,-0.00545,0.5948,0.7652
simple,v2,3,100,C_oa,0.6766,0.673,0.0485,-0.0036,0.59,0.76
simple,v2,3,100,A_oa_wtd,0.6634,0.6588,0.04298,-0.00452,0.5749,0.7358
simple,v2,3,100,A_macrof1_wtd,0.3817,0.5948,0.05171,0.21312,0.4685,0.678
simple,v2,3,100,C_frac_majority,,0.9826,0.01284,,,
strat,v2,3,100,A_oa,0.6634,0.4741,0.0264,-0.18926,0.4108,0.5313
strat,v2,3,100,A_kappa,0.5375,0.4012,0.02939,-0.13636,0.3335,0.4608
strat,v2,3,100,A_macrof1,0.3817,0.4375,0.04044,0.05585,0.3774,0.519
strat,v2,3,100,B_oa,0.6911,0.6928,0.07201,0.00179,0.5543,0.8189
strat,v2,3,100,C_oa,0.6766,0.6743,0.07578,-0.00229,0.5333,0.8138
strat,v2,3,100,A_oa_wtd,0.6634,0.6602,0.059,-0.00313,0.555,0.7656
strat,v2,3,100,A_macrof1_wtd,0.3817,0.4305,0.04733,0.04883,0.3478,0.5369
strat,v2,3,100,C_frac_majority,,0.9777,0.0162,,,
simple,v2,3,200,A_oa,0.6634,0.6583,0.02471,-0.00508,0.6104,0.7069
simple,v2,3,200,A_kappa,0.5375,0.5318,0.03303,-0.0057,0.4651,0.5945
simple,v2,3,200,A_macrof1,0.3817,0.5728,0.04682,0.19114,0.4814,0.6449
simple,v2,3,200,B_oa,0.6911,0.6849,0.02819,-0.00615,0.635,0.7426
simple,v2,3,200,C_oa,0.6766,0.6698,0.03045,-0.00675,0.615,0.7326
simple,v2,3,200,A_oa_wtd,0.6634,0.6583,0.02471,-0.00508,0.6104,0.7069
simple,v2,3,200,A_macrof1_wtd,0.3817,0.5728,0.04682,0.19114,0.4814,0.6449
simple,v2,3,200,C_frac_majority,,0.9829,0.00838,,,
strat,v2,3,200,A_oa,0.6634,0.4778,0.021,-0.18553,0.4365,0.5189
strat,v2,3,200,A_kappa,0.5375,0.4056,0.02343,-0.13193,0.3587,0.4542
strat,v2,3,200,A_macrof1,0.3817,0.4125,0.03032,0.03089,0.3696,0.4787
strat,v2,3,200,B_oa,0.6911,0.6949,0.05567,0.00385,0.5644,0.7895
strat,v2,3,200,C_oa,0.6766,0.6817,0.05843,0.00512,0.5588,0.7744
strat,v2,3,200,A_oa_wtd,0.6634,0.6688,0.04678,0.00549,0.5825,0.7444
strat,v2,3,200,A_macrof1_wtd,0.3817,0.3986,0.0266,0.01693,0.3565,0.4638
strat,v2,3,200,C_frac_majority,,0.9775,0.01131,,,
simple,v2,3,500,A_oa,0.6634,0.663,0.01883,-0.00033,0.6221,0.6958
simple,v2,3,500,A_kappa,0.5375,0.5378,0.02422,0.00026,0.4943,0.5843
simple,v2,3,500,A_macrof1,0.3817,0.5463,0.05136,0.16463,0.4551,0.6404
simple,v2,3,500,B_oa,0.6911,0.6922,0.0221,0.00111,0.6499,0.73
simple,v2,3,500,C_oa,0.6766,0.6779,0.02179,0.00132,0.6389,0.713
simple,v2,3,500,A_oa_wtd,0.6634,0.663,0.01883,-0.00033,0.6221,0.6958
