design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
simple,v2,1,100,Agriculture,f1,0.7991,0.7903,0.08224,-0.00882,0.0
simple,v2,1,100,Grass/Shrub,f1,0.2714,0.2554,0.13518,-0.01598,0.04
simple,v2,1,100,Wetland,f1,0.3949,0.3893,0.12175,-0.00557,0.07
simple,v2,1,100,Beaver,f1,0.0038,,,,1.0
simple,v2,1,100,Insect/Disease,f1,0.0195,0.6,0.2708,0.58049,0.96
strat,v2,1,100,Harvest,recall,0.0762,0.088,0.082,0.01178,0.0
strat,v2,1,100,Development,recall,0.0914,0.083,0.08172,-0.00838,0.0
strat,v2,1,100,Forest,recall,0.7335,0.716,0.16313,-0.01751,0.0
strat,v2,1,100,Urban,recall,0.6797,0.661,0.16569,-0.01874,0.0
strat,v2,1,100,Water,recall,0.9464,0.936,0.07722,-0.01039,0.0
strat,v2,1,100,Agriculture,recall,0.7667,0.774,0.12603,0.00733,0.0
strat,v2,1,100,Grass/Shrub,recall,0.2905,0.267,0.14429,-0.02352,0.0
strat,v2,1,100,Wetland,recall,0.3386,0.333,0.12875,-0.00562,0.0
strat,v2,1,100,Beaver,recall,0.3293,0.307,0.16346,-0.02226,0.0
strat,v2,1,100,Insect/Disease,recall,0.0713,0.059,0.06831,-0.01234,0.0
strat,v2,1,100,Harvest,precision,0.0888,0.349,0.38765,0.2602,0.04
strat,v2,1,100,Development,precision,0.0073,0.2538,0.42335,0.24651,0.16
strat,v2,1,100,Forest,precision,0.8795,0.8702,0.04878,-0.00928,0.0
strat,v2,1,100,Urban,precision,0.3781,0.4427,0.1879,0.06459,0.0
strat,v2,1,100,Water,precision,0.9349,0.9295,0.09882,-0.00543,0.0
strat,v2,1,100,Agriculture,precision,0.8345,0.8332,0.0922,-0.00126,0.0
strat,v2,1,100,Grass/Shrub,precision,0.2546,0.2693,0.17937,0.01467,0.0
strat,v2,1,100,Wetland,precision,0.4735,0.5378,0.21507,0.06427,0.0
strat,v2,1,100,Beaver,precision,0.0019,0.0167,0.10144,0.01481,0.0
strat,v2,1,100,Insect/Disease,precision,0.0113,0.1837,0.36129,0.17235,0.11
strat,v2,1,100,Harvest,f1,0.082,0.1922,0.10015,0.11016,0.38
strat,v2,1,100,Development,f1,0.0135,0.1033,0.12292,0.08984,0.38
strat,v2,1,100,Forest,f1,0.7999,0.7777,0.11884,-0.02222,0.0
strat,v2,1,100,Urban,f1,0.4859,0.5126,0.15745,0.02668,0.0
strat,v2,1,100,Water,f1,0.9406,0.9285,0.07018,-0.01207,0.0
strat,v2,1,100,Agriculture,f1,0.7991,0.797,0.09469,-0.00212,0.0
strat,v2,1,100,Grass/Shrub,f1,0.2714,0.2627,0.13164,-0.00872,0.04
strat,v2,1,100,Wetland,f1,0.3949,0.3952,0.14061,0.00029,0.0
strat,v2,1,100,Beaver,f1,0.0038,0.0181,0.07238,0.0143,0.05
strat,v2,1,100,Insect/Disease,f1,0.0195,0.1049,0.10052,0.08534,0.52
simple,v2,1,200,Harvest,recall,0.0762,0.1048,0.23344,0.0286,0.1
simple,v2,1,200,Development,recall,0.0914,0.0,0.0,-0.09138,0.89
simple,v2,1,200,Forest,recall,0.7335,0.7322,0.04787,-0.00127,0.0
