source,change_class,cell_id,bracket,f1,ref_pixels_of_class,pred_pixels_of_class,present_via
v4,insect_disease,04363,2017_2019,0.0,0,2595,prediction
v4,beaver,04363,2017_2019,0.0,0,5,prediction
v5,harvest,04363,2017_2019,0.00462,1726,4,both
v5,insect_disease,04363,2017_2019,0.0,0,1,prediction
v5,beaver,04363,2017_2019,0.0,0,42042,prediction
v6,harvest,04363,2017_2019,0.02631,1726,9374,both
v6,development,04363,2017_2019,0.0,0,2675,prediction
v6,insect_disease,04363,2017_2019,0.0,0,3190,prediction
v6,beaver,04363,2017_2019,0.0,0,5656,prediction
spec_all,harvest,04363,2017_2019,0.21181,1726,408,both
spec_all,development,04363,2017_2019,0.0,0,23553,prediction
spec_all,insect_disease,04363,2017_2019,0.0,0,46558,prediction
spec_all,beaver,04363,2017_2019,0.0,0,425,prediction
v2,development,04570,2021_2023,0.0,97,0,reference
v2,beaver,04570,2021_2023,0.0,45,591,both
v3,development,04570,2021_2023,0.0,97,0,reference
v3,beaver,04570,2021_2023,0.0,45,2201,both
v4,development,04570,2021_2023,0.0,97,0,reference
v4,insect_disease,04570,2021_2023,0.0,0,1866,prediction
v4,beaver,04570,2021_2023,0.0,45,0,reference
v5,development,04570,2021_2023,0.0,97,0,reference
v5,beaver,04570,2021_2023,0.0,45,2253,both
v6,harvest,04570,2021_2023,0.0,0,11558,prediction
v6,development,04570,2021_2023,0.00402,97,8867,both
v6,insect_disease,04570,2021_2023,0.0,0,17020,prediction
v6,beaver,04570,2021_2023,0.0003,45,13348,both
spec_all,harvest,04570,2021_2023,0.0,0,21437,prediction
spec_all,development,04570,2021_2023,0.00423,97,18333,both
spec_all,insect_disease,04570,2021_2023,0.0,0,1173,prediction
spec_all,beaver,04570,2021_2023,0.0,45,794,both
v2,harvest,04602,2017_2019,0.0,959,0,reference
v2,development,04602,2017_2019,0.07194,267,11,both
v2,insect_disease,04602,2017_2019,0.0,6,0,reference
v2,beaver,04602,2017_2019,0.01742,62,2119,both
v3,harvest,04602,2017_2019,0.0,959,0,reference
v3,development,04602,2017_2019,0.0,267,0,reference
v3,insect_disease,04602,2017_2019,0.0,6,0,reference
v3,beaver,04602,2017_2019,0.00616,62,6108,both
v4,harvest,04602,2017_2019,0.0,959,119,both
v4,development,04602,2017_2019,0.00641,267,45,both
v4,insect_disease,04602,2017_2019,0.00042,6,4735,both
v4,beaver,04602,2017_2019,0.0,62,535,both
v5,harvest,04602,2017_2019,0.0,959,0,reference
v5,development,04602,2017_2019,0.01536,267,514,both
v5,insect_disease,04602,2017_2019,0.0,6,0,reference
v5,beaver,04602,2017_2019,0.01946,62,1891,both
v6,harvest,04602,2017_2019,0.01553,959,10629,both
