variant,bracket,control,class_code,class_name,precision,recall,f1,iou,support,cells_present,low_support,OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
v4,2020_2022,False,1,harvest,0.22394,0.17334,0.19542,0.10829,84209,19,False,0.06565,0.07493,0.04319,0.02142,36,4082979
v4,2020_2022,False,2,development,0.00989,0.32666,0.0192,0.00969,949,11,False,0.06565,0.07493,0.04319,0.02142,36,4082979
v4,2020_2022,False,3,forest,0.04348,0.00158,0.00306,0.00153,2284742,35,False,0.06565,0.07493,0.04319,0.02142,36,4082979
v4,2020_2022,False,4,urban,0.02647,0.74518,0.05113,0.02624,118821,36,False,0.06565,0.07493,0.04319,0.02142,36,4082979
v4,2020_2022,False,5,water,0.01156,0.00038,0.00073,0.00036,401507,29,False,0.06565,0.07493,0.04319,0.02142,36,4082979
v4,2020_2022,False,6,ag,0.46905,0.31675,0.37814,0.23315,451497,18,False,0.06565,0.07493,0.04319,0.02142,36,4082979
v4,2020_2022,False,7,grass_shrub,0.40312,0.04569,0.08208,0.0428,340528,31,False,0.06565,0.07493,0.04319,0.02142,36,4082979
v4,2020_2022,False,8,wetland,0.19652,0.00414,0.00812,0.00408,384623,28,False,0.06565,0.07493,0.04319,0.02142,36,4082979
v4,2020_2022,False,9,beaver,0.00396,0.33779,0.00782,0.00393,1495,6,False,0.06565,0.07493,0.04319,0.02142,36,4082979
v4,2020_2022,False,10,insect_disease,0.00217,0.00986,0.00356,0.00178,14608,5,False,0.06565,0.07493,0.04319,0.02142,36,4082979
v5,2020_2022,False,1,harvest,0.0169,0.07281,0.02743,0.01391,84209,19,False,0.52185,0.35141,0.27105,0.39357,36,4082979
v5,2020_2022,False,2,development,0.00196,0.31823,0.00389,0.00195,949,11,False,0.52185,0.35141,0.27105,0.39357,36,4082979
v5,2020_2022,False,3,forest,0.88574,0.50275,0.64142,0.47213,2284742,35,False,0.52185,0.35141,0.27105,0.39357,36,4082979
v5,2020_2022,False,4,urban,0.35295,0.4419,0.39245,0.24413,118821,36,False,0.52185,0.35141,0.27105,0.39357,36,4082979
v5,2020_2022,False,5,water,0.95601,0.96863,0.96228,0.9273,401507,29,False,0.52185,0.35141,0.27105,0.39357,36,4082979
v5,2020_2022,False,6,ag,0.79301,0.70739,0.74776,0.59714,451497,18,False,0.52185,0.35141,0.27105,0.39357,36,4082979
v5,2020_2022,False,7,grass_shrub,0.33676,0.25776,0.29201,0.17097,340528,31,False,0.52185,0.35141,0.27105,0.39357,36,4082979
v5,2020_2022,False,8,wetland,0.66754,0.31914,0.43183,0.27537,384623,28,False,0.52185,0.35141,0.27105,0.39357,36,4082979
v5,2020_2022,False,9,beaver,0.00203,0.22408,0.00403,0.00202,1495,6,False,0.52185,0.35141,0.27105,0.39357,36,4082979
v5,2020_2022,False,10,insect_disease,0.00564,0.27095,0.01105,0.00556,14608,5,False,0.52185,0.35141,0.27105,0.39357,36,4082979
v6,2020_2022,False,1,harvest,0.02713,0.12456,0.04455,0.02278,84209,19,False,0.1407,0.09557,0.05238,0.03788,36,4082979
v6,2020_2022,False,2,development,0.00081,0.2529,0.00162,0.00081,949,11,False,0.1407,0.09557,0.05238,0.03788,36,4082979
v6,2020_2022,False,3,forest,0.62493,0.11943,0.20053,0.11144,2284742,35,False,0.1407,0.09557,0.05238,0.03788,36,4082979
v6,2020_2022,False,4,urban,0.02597,0.10564,0.04169,0.02129,118821,36,False,0.1407,0.09557,0.05238,0.03788,36,4082979
v6,2020_2022,False,5,water,0.21241,0.25888,0.23336,0.13209,401507,29,False,0.1407,0.09557,0.05238,0.03788,36,4082979
v6,2020_2022,False,6,ag,0.23872,0.18931,0.21117,0.11805,451497,18,False,0.1407,0.09557,0.05238,0.03788,36,4082979
